Depth profiles at each cell, TRIGRS, v. 2.1.00a
Finite-depth no-flow boundary
Cell Number, Slope angle, Step#, Time
Z         P      Pzero     Ptran      Pbeta       FS
  1.6000      0.37736      0.68857E-01  0.30850       1.1017       2.0595    
  1.8000      0.48830      0.20657      0.28173       1.2394       1.9893    
  2.0000      0.61713      0.34429      0.27285       1.3771       1.9243    
cell            6  19.5           2   216000.00    
  0.0000       0.0000      -1.0329       1.3848       0.0000       10.000    
 0.20000      0.13771     -0.89514       1.1954      0.13771       3.8227    
 0.40000      0.26953     -0.75743       1.0270      0.27543       2.5734    
 0.60000      0.25969     -0.61972      0.87941      0.41314       2.3909    
 0.80000      0.27050     -0.48200      0.75250      0.55086       2.2742    
  1.0000      0.30164     -0.34429      0.64593      0.68857       2.1839    
  1.2000      0.35278     -0.20657      0.55935      0.82629       2.1072    
  1.4000      0.42359     -0.68857E-01  0.49244      0.96400       2.0385    
  1.6000      0.51375      0.68857E-01  0.44490       1.1017       1.9750    
  1.8000      0.62304      0.20657      0.41647       1.2394       1.9151    
  2.0000      0.75130      0.34429      0.40701       1.3771       1.8578    
cell            7  19.5           1   172800.00    
  0.0000       0.0000      -1.0329       1.2273       0.0000       10.000    
 0.20000      0.13771     -0.89514       1.0384      0.13771       3.8227    
 0.40000      0.11422     -0.75743      0.87165      0.27543       2.9583    
 0.60000      0.10697     -0.61972      0.72669      0.41314       2.6433    
 0.80000      0.12104     -0.48200      0.60304      0.55086       2.4593    
  1.0000      0.15579     -0.34429      0.50008      0.68857       2.3285    
  1.2000      0.21054     -0.20657      0.41711      0.82629       2.2247    
  1.4000      0.28460     -0.68857E-01  0.35346      0.96400       2.1370    
  1.6000      0.37736      0.68857E-01  0.30850       1.1017       2.0595    
  1.8000      0.48830      0.20657      0.28173       1.2394       1.9893    
  2.0000      0.61713      0.34429      0.27285       1.3771       1.9243    
cell            7  19.5           2   216000.00    
  0.0000       0.0000      -1.0329       1.3848       0.0000       10.000    
 0.20000      0.13771     -0.89514       1.1954      0.13771       3.8227    
 0.40000      0.26953     -0.75743       1.0270      0.27543       2.5734    
 0.60000      0.25969     -0.61972      0.87941      0.41314       2.3909    
 0.80000      0.27050     -0.48200      0.75250      0.55086       2.2742    
  1.0000      0.30164     -0.34429      0.64593      0.68857       2.1839    
  1.2000      0.35278     -0.20657      0.55935      0.82629       2.1072    
  1.4000      0.42359     -0.68857E-01  0.49244      0.96400       2.0385    
  1.6000      0.51375      0.68857E-01  0.44490       1.1017       1.9750    
  1.8000      0.62304      0.20657      0.41647       1.2394       1.9151    
  2.0000      0.75130      0.34429      0.40701       1.3771       1.8578    
cell            8  19.5           1   172800.00    
  0.0000       0.0000      -1.0329       1.2273       0.0000       10.000    
 0.20000      0.13771     -0.89514       1.0384      0.13771       3.8227    
 0.40000      0.11422     -0.75743      0.87165      0.27543       2.9583    
 0.60000      0.10697     -0.61972      0.72669      0.41314       2.6433    
 0.80000      0.12104     -0.48200      0.60304      0.55086       2.4593    
  1.0000      0.15579     -0.34429      0.50008      0.68857       2.3285    
  1.2000      0.21054     -0.20657      0.41711      0.82629       2.2247    
  1.4000      0.28460     -0.68857E-01  0.35346      0.96400       2.1370    
  1.6000      0.37736      0.68857E-01  0.30850       1.1017       2.0595    
  1.8000      0.48830      0.20657      0.28173       1.2394       1.9893    
  2.0000      0.61713      0.34429      0.27285       1.3771       1.9243    
cell            8  19.5           2   216000.00    
  0.0000       0.0000      -1.0329       1.3848       0.0000       10.000    
 0.20000      0.13771     -0.89514       1.1954      0.13771       3.8227    
 0.40000      0.26953     -0.75743       1.0270      0.27543       2.5734    
 0.60000      0.25969     -0.61972      0.87941      0.41314       2.3909    
 0.80000      0.27050     -0.48200      0.75250      0.55086       2.2742    
  1.0000      0.30164     -0.34429      0.64593      0.68857       2.1839    
  1.2000      0.35278     -0.20657      0.55935      0.82629       2.1072    
  1.4000      0.42359     -0.68857E-01  0.49244      0.96400       2.0385    
  1.6000      0.51375      0.68857E-01  0.44490       1.1017       1.9750    
  1.8000      0.62304      0.20657      0.41647       1.2394       1.9151    
  2.0000      0.75130      0.34429      0.40701       1.3771       1.8578    
cell            9  23.0           1   172800.00    
  0.0000      -1.0240      -1.2707      0.24672       0.0000       10.000    
 0.20000     -0.85512      -1.1013      0.24615      0.16943       6.4707    
